entry_number,gulper_id,task,subtask,entry_start_time,entry_end_time,duration_seconds,job_id,,,,,,,,,,,,,,,,,,
1,23,Communication,With client(s),13:08:58,13:10:04,65.8,2026-05-31_01,,,,,,,,,,,,,,,,,,
2,23,Superstructure,Inspection,13:10:15,13:11:53,98.6,2026-05-31_01,,,,,,,,,,,,,,,,,,
3,23,Communication,With client(s),13:11:55,13:13:18,82.2,2026-05-31_01,,,,,,,,,,,,,,,,,,
4,23,Rest,,13:13:18,13:13:38,20.5,2026-05-31_01,,,,,,,,,,,,,,,,,,
5,23,Equipment,Maneuvering,13:13:38,13:13:57,19.4,2026-05-31_01,,,,,,,,,,,,,,,,,,
6,23,Communication,With client(s),13:13:57,13:15:34,96.9,2026-05-31_01,,,,,,,,,,,,,,,,,,
7,23,Earthworks,Dig trench,13:15:34,13:15:45,10.2,2026-05-31_01,,,,,,,,,,,,,,,,,,
8,23,Earthworks,Dig trench,13:15:49,13:16:34,44.9,2026-05-31_01,,,,,,,,,,,,,,,,,,
9,23,Equipment,Maneuvering,13:16:34,13:16:50,15.5,2026-05-31_01,,,,,,,,,,,,,,,,,,
10,23,Rest,,13:16:50,13:17:33,43.4,2026-05-31_01,,,,,,,,,,,,,,,,,,
11,23,Superstructure,Inspection,13:17:33,13:17:39,5.5,2026-05-31_01,,,,,,,,,,,,,,,,,,
12,23,Rest,,13:17:39,13:18:45,66,2026-05-31_01,,,,,,,,,,,,,,,,,,
13,23,Earthworks,Dig trench,13:18:47,13:29:55,668.2,2026-05-31_01,,,,,,,,,,,,,,,,,,
14,23,Communication,With client(s),13:29:55,13:30:02,6.9,2026-05-31_01,,,,,,,,,,,,,,,,,,
15,23,Earthworks,Dig trench,13:30:02,13:30:10,7.5,2026-05-31_01,,,,,,,,,,,,,,,,,,
16,23,Communication,With client(s),13:30:10,13:30:45,35,2026-05-31_01,,,,,,,,,,,,,,,,,,
17,23,Earthworks,Dig trench,13:30:54,13:55:38,1483.6,2026-05-31_01,,,,,,,,,,,,,,,,,,
18,23,Rest,,13:55:38,13:55:55,17.5,2026-05-31_01,,,,,,,,,,,,,,,,,,
19,23,Earthworks,Dig trench,13:55:55,14:04:15,499.4,2026-05-31_01,,,,,,,,,,,,,,,,,,
20,23,Rest,,14:04:15,14:04:28,13.6,2026-05-31_01,,,,,,,,,,,,,,,,,,
21,23,Equipment,Maneuvering,14:04:28,14:04:38,9.3,2026-05-31_01,,,,,,,,,,,,,,,,,,
22,23,Rest,,14:04:38,14:04:52,14.7,2026-05-31_01,,,,,,,,,,,,,,,,,,
23,23,Superstructure,Inspection,14:04:52,14:05:04,11.8,2026-05-31_01,,,,,,,,,,,,,,,,,,
24,23,Rest,,14:05:04,14:05:12,8.4,2026-05-31_01,,,,,,,,,,,,,,,,,,
25,23,Communication,With client(s),14:05:12,14:05:41,28.4,2026-05-31_01,,,,,,,,,,,,,,,,,,
26,23,Rest,,14:05:41,14:06:28,47.3,2026-05-31_01,,,,,,,,,,,,,,,,,,
27,23,Earthworks,Put hole in pit liner,14:06:28,14:21:01,873,2026-05-31_01,,,,,,,,,,,,,,,,,,
28,23,Extraction,Removing sludge,14:21:01,14:22:17,75.7,2026-05-31_01,,,,,,,,,,,,,,,,,,
29,23,Rest,,14:22:17,14:22:25,7.9,2026-05-31_01,,,,,,,,,,,,,,,,,,
30,23,Extraction,Removing sludge,14:22:25,14:22:40,15.5,2026-05-31_01,,,,,,,,,,,,,,,,,,
31,23,Rest,,14:22:40,14:22:46,5.4,2026-05-31_01,,,,,,,,,,,,,,,,,,
